Time Open,Price Open,Price High,Price Low,Price Close,Upper BB,Lower BB,Moving Average,Standard Deviation/Period
2022-02-17 08:59:00 -0500 EST,2994.610000,3000.100000,2991.690000,2996.100000,3030.473994,2989.260987
2022-02-17 09:00:00 -0500 EST,2996.090000,3003.160000,2988.500000,3002.400000,3028.334069,2989.130912
2022-02-17 09:01:00 -0500 EST,3002.480000,3009.860000,3001.150000,3007.102638,3026.790212,2989.270032
2022-02-17 09:02:00 -0500 EST,3007.410000,3009.000000,3002.900000,3005.760000,3025.076854,2989.461390
2022-02-17 09:03:00 -0500 EST,3005.100000,3011.630000,3005.090000,3011.260000,3024.362010,2989.620234
2022-02-17 09:04:00 -0500 EST,3011.260000,3014.790000,3008.190000,3014.730000,3024.061725,2989.722519
2022-02-17 09:05:00 -0500 EST,3014.350000,3018.510000,3011.380000,3015.880000,3022.741118,2990.381127
2022-02-17 09:06:00 -0500 EST,3016.150000,3020.590000,3010.850000,3012.980000,3023.063427,2990.351818
2022-02-17 09:07:00 -0500 EST,3012.960000,3015.100000,3005.130000,3007.060000,3022.739844,2990.272400
2022-02-17 09:08:00 -0500 EST,3007.060000,3011.540000,3002.910000,3011.540000,3021.639454,2990.681810
2022-02-17 09:09:00 -0500 EST,3011.100000,3015.210000,3007.070000,3007.940000,3021.389214,2990.659050
2022-02-17 09:10:00 -0500 EST,3007.680000,3009.650000,3004.160000,3006.890000,3020.284844,2990.871419
2022-02-17 09:11:00 -0500 EST,3006.820000,3013.000000,3001.350000,3012.520000,3019.960596,2990.992668
2022-02-17 09:12:00 -0500 EST,3012.700000,3012.700000,3002.400000,3007.600000,3019.928553,2990.985711
2022-02-17 09:13:00 -0500 EST,3008.100000,3012.020000,3007.350000,3011.570000,3019.891695,2990.995569
2022-02-17 09:14:00 -0500 EST,3011.250000,3013.000000,3006.460000,3007.840000,3019.785340,2992.343924
2022-02-17 09:15:00 -0500 EST,3007.800000,3015.310000,3006.380000,3013.130000,3019.967027,2994.019237
2022-02-17 09:16:00 -0500 EST,3013.000000,3014.190000,3008.100000,3011.410000,3020.238445,2994.915818
2022-02-17 09:17:00 -0500 EST,3010.440000,3014.220000,3009.400000,3013.500000,3019.651811,2997.523452
2022-02-17 09:18:00 -0500 EST,3012.840000,3014.800000,3010.000000,3010.000000,3018.358282,3000.362981
2022-02-17 09:19:00 -0500 EST,3009.660000,3011.010000,3006.800000,3007.340000,3016.656283,3003.188981
2022-02-17 09:20:00 -0500 EST,3007.410000,3008.531412,2999.360000,3000.590000,3017.002272,3002.661992
2022-02-17 09:21:00 -0500 EST,3000.490000,3004.800000,2998.680000,2999.210000,3017.914756,3000.960244
2022-02-17 09:22:00 -0500 EST,2999.810000,3002.410000,2997.190000,3001.450272,3018.262616,3000.181411
2022-02-17 09:23:00 -0500 EST,2999.720000,3002.570000,2999.480000,2999.980000,3018.492260,2998.823767
2022-02-17 09:24:00 -0500 EST,2999.890000,3003.200000,2998.370000,3001.570000,3017.882054,2998.117973
2022-02-17 09:25:00 -0500 EST,3001.550000,3002.810000,2997.540000,2998.880000,3017.098924,2997.201103
